"","video_id","trending_date","channel_title","category_id","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","hour","publish_date","trending_day","tag_count","tag_count_fac","weekend","weekend_fac","hour_fac","category","assignable"
"17","zy0b9e40tK8",2017-11-14,"Netflix",24,378750,5642,146,675,"False","False","False",9,2017-11-09,1,8,1,"Thursday",0,0,"Entertainment",TRUE
"18","rL4WkebTT_U",2017-11-14,"Abroad in Japan",24,151709,9210,71,1103,"False","False","False",15,2017-11-09,1,36,4,"Thursday",0,1,"Entertainment",TRUE
"19","Y6eKxjMA9ek",2017-11-14,"Tucker Gott",24,175852,15909,200,852,"False","False","False",16,2017-11-09,1,18,2,"Thursday",0,1,"Entertainment",TRUE
"20","Q6Usd3_fbq8",2017-11-14,"Nahre Sol",10,5149,242,0,54,"False","False","False",4,2017-11-10,1,28,3,"Friday",0,0,"Music",TRUE
"21","44NYFvhXmW8",2017-11-14,"ThirtySecondsToMarsVEVO",10,1905487,65854,2442,4490,"False","False","False",13,2017-11-08,1,4,1,"Wednesday",0,1,"Music",TRUE
"22","9wg3v-01yKQ",2017-11-14,"HarryStylesVEVO",10,9632678,810895,16139,59473,"False","False","False",13,2017-11-08,1,23,3,"Wednesday",0,1,"Music",TRUE
"23","F-j_6IuaYfw",2017-11-14,"Wong Fu Productions",24,476389,16106,950,2077,"False","False","False",21,2017-11-08,1,1,1,"Wednesday",0,1,"Entertainment",TRUE
"24","afgvlR9WmIQ",2017-11-14,"Maroon5VEVO",10,762616,20159,336,899,"False","False","False",2,2017-11-09,1,18,2,"Thursday",0,0,"Music",TRUE
"25","P4YJwy_T9pM",2017-11-14,"Tyler Williams",22,691229,31892,197,1404,"False","False","False",3,2017-11-09,1,1,1,"Thursday",0,0,"People & Blogs",TRUE
"26","YqH4eWR7jDQ",2017-11-14,"Stewart Brand",27,6412,49,0,2,"False","False","False",19,2012-06-10,1,44,4,"Sunday",1,1,"Education",TRUE
"27","B4gXsobd_ao",2017-11-14,"The School of Life",27,79306,3809,127,670,"False","False","False",14,2017-11-09,1,29,3,"Thursday",0,1,"Education",TRUE
"28","x8eLIJAM58M",2017-11-14,"E! Entertainment",24,812007,5894,951,851,"False","False","False",14,2017-11-08,1,6,1,"Wednesday",0,1,"Entertainment",TRUE
"29","6V_aZsATDsM",2017-11-14,"Whitney Port",26,55398,1170,22,336,"False","False","False",17,2017-11-09,1,2,1,"Thursday",0,1,"Howto & Style",TRUE
"30","qg0GdM60syI",2017-11-14,"90s Commercials",27,773,2,0,0,"False","False","False",21,2017-03-31,1,9,1,"Friday",0,1,"Education",TRUE
"31","8j_BYfVEyhA",2017-11-14,"Breakfast Club Power 105.1 FM",24,581288,5075,725,1780,"False","False","False",13,2017-11-08,1,16,2,"Wednesday",0,1,"Entertainment",TRUE
"32","9ymjcSvEyhk",2017-11-14,"Enter Shikari",10,99619,3959,158,335,"False","False","False",14,2017-11-09,1,7,1,"Thursday",0,1,"Music",TRUE
"33","oB3SAI2oCqk",2017-11-14,"Caterham Cars",2,4850,22,1,1,"False","False","False",9,2017-11-09,1,22,3,"Thursday",0,0,"Autos & Vehicles",TRUE
"34","HNa_UWX51_s",2017-11-14,"PostmodernJukebox",10,226088,10844,302,555,"False","False","False",18,2017-11-09,1,4,1,"Thursday",0,1,"Music",TRUE
"35","08nkwgZIE4I",2017-11-14,"PinkVEVO",10,651036,23338,442,1101,"False","False","False",22,2017-11-08,1,16,2,"Wednesday",0,1,"Music",TRUE
"36","5Smb3tZD1Qc",2017-11-14,"Tamar Chronicles",24,451356,3454,284,623,"False","False","False",18,2017-11-08,1,13,2,"Wednesday",0,1,"Entertainment",TRUE
"37","YHDbsyyjld0",2017-11-14,"Kitten Lady",15,46571,4250,16,408,"False","False","False",23,2017-11-09,1,37,4,"Thursday",0,1,"Pets & Animals",TRUE
"38","uyl6WtHEYOQ",2017-11-14,"Guinness World Records",24,28539,681,25,45,"False","False","False",20,2017-11-10,1,7,1,"Friday",0,1,"Entertainment",TRUE
"39","bhoFXkVy8JA",2017-11-14,"Blockbuster",1,12609,40,79,17,"False","False","False",8,2017-10-13,1,4,1,"Friday",0,0,"Film & Animation",TRUE
"40","_w58R1OGQFA",2017-11-14,"TrainVEVO",10,30021,569,42,44,"False","False","False",15,2017-11-09,1,28,3,"Thursday",0,1,"Music",TRUE
"41","BEweWXa5Twk",2017-11-14,"Christen Dominique",26,471266,23634,460,1714,"False","False","False",3,2017-11-09,1,21,3,"Thursday",0,0,"Howto & Style",TRUE
"42","egXr0PU-kCY",2017-11-14,"James Charles",24,1073134,47793,1886,5358,"False","False","False",22,2017-11-08,1,8,1,"Wednesday",0,1,"Entertainment",TRUE
"43","fIQ2Ty2OL34",2017-11-14,"FreeDawkins",17,18573,420,10,236,"False","False","False",4,2017-11-10,1,23,3,"Friday",0,0,"Sports",TRUE
"44","d_j512i2k6c",2017-11-14,"The Infographics Show",27,250193,5748,332,1197,"False","False","False",20,2017-11-08,1,5,1,"Wednesday",0,1,"Education",TRUE
"45","4d07RXYLsJE",2017-11-14,"Jenny Hanell",28,1827,3,0,2,"False","False","False",20,2017-11-04,1,3,1,"Saturday",1,1,"Science & Technology",TRUE
"46","DOIw62TXYkg",2017-11-14,"PetaPixel",28,2457408,2707,200,209,"False","False","False",19,2017-11-07,1,36,4,"Tuesday",0,1,"Science & Technology",TRUE
"47","0lbJHqAGpbA",2017-11-14,"RM Videos",23,51143,258,5,10,"False","False","False",16,2017-11-09,1,6,1,"Thursday",0,1,"Comedy",TRUE
"48","JuP1Z8xpRb8",2017-11-14,"BrianJustinCrum",24,27010,1666,36,150,"False","False","False",17,2017-11-09,1,26,3,"Thursday",0,1,"Entertainment",TRUE
"49","CR9zYgr84QY",2017-11-14,"CupcakeJemma",26,122669,5723,55,263,"False","False","False",18,2017-11-09,1,22,3,"Thursday",0,1,"Howto & Style",TRUE
"50","1640fZpYBSY",2017-11-14,"Anaki Abo",22,358597,1211,72,593,"False","False","False",18,2017-11-07,1,3,1,"Tuesday",0,1,"People & Blogs",TRUE
"51","M2-IpsWQUWs",2017-11-14,"Katy Perry",24,56012,6243,106,414,"False","False","False",19,2017-11-09,1,9,1,"Thursday",0,1,"Entertainment",TRUE
"52","7m630xvAJtA",2017-11-14,"I'm With Her",22,6148,121,3,19,"False","False","False",16,2017-11-09,1,41,4,"Thursday",0,1,"People & Blogs",TRUE
"53","510KQ_LXGww",2017-11-14,"Zoella",26,1390440,86207,1775,710,"False","False","False",18,2017-11-08,1,5,1,"Wednesday",0,1,"Howto & Style",TRUE
"54","CO9dIyNM_9Q",2017-11-14,"Storyful News",25,244532,633,174,765,"False","False","False",22,2017-11-07,1,29,3,"Tuesday",0,1,"News & Politics",TRUE
"55","hX643KbiI4s",2017-11-14,"Tu Fan",24,82087,998,93,289,"False","False","False",21,2017-11-08,1,9,1,"Wednesday",0,1,"Entertainment",TRUE
"56","mwpHSMv1pI4",2017-11-14,"MyHarto",23,359120,15130,223,1143,"False","False","False",1,2017-11-09,1,13,2,"Thursday",0,0,"Comedy",TRUE
"57","Mfiim71QdYQ",2017-11-14,"Chicago Sun-Times",25,33768,426,88,550,"False","False","False",18,2017-11-08,1,20,3,"Wednesday",0,1,"News & Politics",TRUE
"58","UFPSIa1cLRQ",2017-11-14,"PhilPhillipsVEVO",10,38068,2195,28,154,"False","False","False",5,2017-11-09,1,41,4,"Thursday",0,0,"Music",TRUE
"59","o78x918zbFk",2017-11-14,"Tati",26,1277364,56867,2148,25326,"False","False","False",18,2017-11-08,1,4,1,"Wednesday",0,1,"Howto & Style",TRUE
"60","iNf6VErGDLI",2017-11-14,"Ozuna",10,1498866,67227,1473,4645,"False","False","False",14,2017-11-08,1,3,1,"Wednesday",0,1,"Music",TRUE
"61","6ixU_vdE0Es",2017-11-14,"Madelaine Petsch",22,280065,20289,38,939,"False","False","False",22,2017-11-08,1,36,4,"Wednesday",0,1,"People & Blogs",TRUE
"62","wRGldR_SQAA",2017-11-14,"Steve Kovach",22,2259,0,0,0,"False","False","False",18,2017-11-09,1,11,2,"Thursday",0,1,"People & Blogs",TRUE
"63","agKDPntMv-E",2017-11-14,"ESPN",17,470191,4037,430,1553,"False","False","False",15,2017-11-08,1,37,4,"Wednesday",0,1,"Sports",TRUE
"64","Xl38SuxyrgM",2017-11-14,"LetsGoWarriors",17,16305,147,13,47,"False","False","False",7,2017-11-09,1,33,4,"Thursday",0,0,"Sports",TRUE
"65","u7pV4vxD1bs",2017-11-14,"KSNV News 3 Las Vegas",25,169511,57,59,79,"False","False","False",20,2017-11-08,1,28,3,"Wednesday",0,1,"News & Politics",TRUE
"66","zYWt2mnalP8",2017-11-14,"Sailor J",24,160477,8388,691,950,"False","False","False",0,2017-11-08,1,29,3,"Wednesday",0,1,"Entertainment",TRUE
"67","PoNWU2cox9w",2017-11-14,"WIRED",2,704363,16352,224,841,"False","False","False",15,2017-11-08,1,16,2,"Wednesday",0,1,"Autos & Vehicles",TRUE
"68","6hTzM1BPdU8",2017-11-14,"HiHo Kids",22,130778,5684,53,737,"False","False","False",21,2017-11-08,1,20,3,"Wednesday",0,1,"People & Blogs",TRUE
"69","MCW5HUkrr-o",2017-11-14,"ElectroBOOM",28,560569,29990,341,1788,"False","False","False",17,2017-11-08,1,8,1,"Wednesday",0,1,"Science & Technology",TRUE
"70","VsYmwBOYfW8",2017-11-15,"Jimmy Kimmel Live",23,2765121,35529,1705,2388,"False","False","False",8,2017-11-14,1,17,2,"Tuesday",0,0,"Comedy",TRUE
"71","jr9QtXwC9vc",2017-11-15,"20th Century Fox",1,2671756,12699,505,1010,"False","False","False",14,2017-11-13,2,26,3,"Monday",0,1,"Film & Animation",TRUE
"72","TSqwDQHE1J8",2017-11-15,"Late Night with Seth Meyers",23,137749,1145,61,131,"False","False","False",10,2017-11-14,1,3,1,"Tuesday",0,0,"Comedy",TRUE
"73","Z3OZyb2iWqQ",2017-11-15,"TheEllenShow",24,137860,1950,64,136,"False","False","False",14,2017-11-14,1,31,4,"Tuesday",0,1,"Entertainment",TRUE
"74","TUmyygCMMGA",2017-11-15,"Vox",25,635985,20721,2417,4111,"False","False","False",13,2017-11-13,2,9,1,"Monday",0,1,"News & Politics",TRUE
"75","0zk2SwmCpss",2017-11-15,"FreeDawkins",17,63780,831,12,301,"False","False","False",6,2017-11-14,1,28,3,"Tuesday",0,0,"Sports",TRUE
"76","B5HORANmzHw",2017-11-15,"SciShow",27,286577,9606,248,1196,"False","False","False",22,2017-11-12,2,8,1,"Sunday",1,1,"Education",TRUE
"77","HBS9783c0BI",2017-11-15,"The Late Late Show with James Corden",24,102639,3218,1085,475,"False","False","False",6,2017-11-14,1,9,1,"Tuesday",0,0,"Entertainment",TRUE
"78","sbcbvuitiTc",2017-11-15,"NBA Highlights · YouTube",17,1015189,2133,2483,1465,"False","False","False",18,2017-11-10,2,35,4,"Friday",0,1,"Sports",TRUE
"79","069D0NmW39o",2017-11-15,"WWE",17,1155622,16060,883,1018,"False","False","False",15,2017-11-11,2,36,4,"Saturday",1,1,"Sports",TRUE
"80","kOnQocd799Y",2017-11-15,"CinemaSins",1,2844271,60500,3667,8122,"False","False","False",17,2017-11-09,2,33,4,"Thursday",0,1,"Film & Animation",TRUE
"81","wJYE0sFOteE",2017-11-15,"Bon Appétit",26,99019,2404,40,135,"False","False","False",16,2017-11-10,2,11,2,"Friday",0,1,"Howto & Style",TRUE
"82","viyRD5z6ilQ",2017-11-15,"LukeBryanVEVO",10,147193,5405,151,395,"False","False","False",5,2017-11-10,2,15,2,"Friday",0,0,"Music",TRUE
"83","x9mh-SwSKas",2017-11-15,"clothesencounters",26,269509,10801,158,653,"False","False","False",18,2017-11-10,2,11,2,"Friday",0,1,"Howto & Style",TRUE
"84","g5c1bk8weaQ",2017-11-15,"Liza Koshy",23,3741812,314872,2647,12114,"False","False","False",3,2017-11-10,2,13,2,"Friday",0,0,"Comedy",TRUE
"85","fCTKDn3Q8xQ",2017-11-15,"Rachel and Jun",22,1185773,45513,1378,4794,"False","False","False",11,2017-11-09,2,8,1,"Thursday",0,0,"People & Blogs",TRUE
"86","xg9ebVTL9yE",2017-11-15,"empireofthesunvevo",10,178313,9072,98,656,"False","False","False",5,2017-11-10,2,24,3,"Friday",0,0,"Music",TRUE
"87","fbHbTBP_u7U",2017-11-15,"NFVEVO",10,2185367,96850,1130,8216,"False","False","False",5,2017-11-09,2,28,3,"Thursday",0,0,"Music",TRUE
"88","uiA4B5Y63IQ",2017-11-15,"FoxSearchlight",1,366814,4099,172,449,"False","False","False",22,2017-11-09,2,6,1,"Thursday",0,1,"Film & Animation",TRUE
"89","QOksZ8VogRw",2017-11-15,"Atlantic Records",10,797436,29425,585,1497,"False","False","False",17,2017-11-09,2,1,1,"Thursday",0,1,"Music",TRUE
"90","Ja_GMU7-sjs",2017-11-15,"Marques Brownlee",28,1646057,53901,1566,5963,"False","False","False",21,2017-11-09,2,26,3,"Thursday",0,1,"Science & Technology",TRUE
"91","9oFP-pOMNwE",2017-11-15,"H&M",24,271685,3330,854,0,"True","False","False",8,2017-11-09,2,1,1,"Thursday",0,0,"Entertainment",TRUE
"92","ttf_EzEkxBk",2017-11-15,"TMZSports",17,3505996,5934,3400,5162,"False","False","False",17,2017-11-08,1,8,1,"Wednesday",0,1,"Sports",TRUE
"93","Eg_kW5fw6qU",2017-11-15,"SuperCarlinBrothers",22,194946,9278,137,2803,"False","False","False",23,2017-11-09,2,30,4,"Thursday",0,1,"People & Blogs",TRUE
"94","_dhneCO4YEE",2017-11-15,"Full Frontal with Samantha Bee",22,392482,5659,2432,1311,"False","False","False",7,2017-11-09,2,5,1,"Thursday",0,0,"People & Blogs",TRUE
"95","J_QGZspO4gg",2017-11-15,"SiaVEVO",10,1882868,88072,1219,6083,"False","False","False",15,2017-11-09,2,14,2,"Thursday",0,1,"Music",TRUE
"96","ozkqm2ifMw8",2017-11-15,"2CELLOS",10,226317,11702,125,471,"False","False","False",13,2017-11-10,2,27,3,"Friday",0,1,"Music",TRUE
"97","RYs08kX3Ih4",2017-11-15,"MsAaliyahJay",26,232083,14766,408,1107,"False","False","False",1,2017-11-10,2,14,2,"Friday",0,0,"Howto & Style",TRUE
"98","PkRBTF6nt4E",2017-11-15,"Business Insider",25,144694,1012,588,288,"False","False","False",13,2017-11-10,2,14,2,"Friday",0,1,"News & Politics",TRUE
"99","Rq9-mW6HgQE",2017-11-15,"The Late Show with Stephen Colbert",24,908489,12261,339,1600,"False","False","False",8,2017-11-09,2,44,4,"Thursday",0,0,"Entertainment",TRUE
"100","LMCuKltaY3M",2017-11-15,"ElbowVEVO",10,180606,2400,159,239,"False","False","False",8,2017-11-10,2,52,4,"Friday",0,0,"Music",TRUE
"101","EYkEshCOhEU",2017-11-15,"Nicole Guerriero",22,308352,15765,399,984,"False","False","False",0,2017-11-10,2,4,1,"Friday",0,1,"People & Blogs",TRUE
"102","6nJw-jPQYVI",2017-11-15,"Late Show with David Letterman",24,193832,1351,25,128,"False","False","False",7,2015-05-21,2,4,1,"Thursday",0,0,"Entertainment",TRUE
"103","1Wk8ZRgXQnY",2017-11-15,"Andy Grammer",10,41251,1561,29,96,"False","False","False",22,2017-11-09,2,5,1,"Thursday",0,1,"Music",TRUE
"104","tOFkFZbPdnQ",2017-11-15,"Danny Sapko",10,524911,7822,185,403,"False","False","False",0,2017-11-09,2,41,4,"Thursday",0,1,"Music",TRUE
"105","qEEtzzi1EII",2017-11-15,"Simon's Cat",15,467804,19962,268,953,"False","False","False",13,2017-11-09,2,32,4,"Thursday",0,1,"Pets & Animals",TRUE
"106","RQDphL2MVlM",2017-11-15,"Dina Tokio",26,77302,3756,123,222,"False","False","False",22,2017-11-10,2,31,4,"Friday",0,1,"Howto & Style",TRUE
"107","cYw-oyJ7AEY",2017-11-15,"PitbullVEVO",10,304700,12347,577,756,"False","False","False",8,2017-11-10,2,17,2,"Friday",0,0,"Music",TRUE
"108","8l_e6bx8UG8",2017-11-15,"RemyMaVEVO",10,1440724,36686,6598,9637,"False","False","False",17,2017-11-08,2,4,1,"Wednesday",0,1,"Music",TRUE
"109","_qSW96a2aKY",2017-11-15,"Keith Urban",24,878560,12961,1468,1788,"False","False","False",5,2017-11-08,2,42,4,"Wednesday",0,0,"Entertainment",TRUE
"110","2VP846QcA_4",2017-11-15,"Michelle Khare",24,155533,4621,233,451,"False","False","False",11,2017-11-09,2,17,2,"Thursday",0,0,"Entertainment",TRUE
"111","lsfzA7sWlOM",2017-11-15,"Nintendo",20,161231,7803,169,1479,"False","False","False",19,2017-11-09,2,27,3,"Thursday",0,1,"Gaming",TRUE
"112","X7flefV8tec",2017-11-15,"Team Coco",24,379918,4472,4507,2066,"False","False","False",2,2017-11-09,2,26,3,"Thursday",0,0,"Entertainment",TRUE
"113","l7je4VAUvjA",2017-11-15,"Caters Clips",25,90454,211,65,59,"False","False","False",8,2017-11-10,1,41,4,"Friday",0,0,"News & Politics",TRUE
"114","eHIY3HNNqzM",2017-11-15,"TheScriptVEVO",10,157037,7800,96,326,"False","False","False",8,2017-11-10,2,18,2,"Friday",0,0,"Music",TRUE
"115","5gFpcEKayz4",2017-11-15,"MOMOMOYOUTHVEVO",10,895507,38734,550,1270,"False","False","False",9,2017-11-09,2,28,3,"Thursday",0,0,"Music",TRUE
"116","r96KpNTcog4",2017-11-15,"Chris and Jack",23,134372,7979,80,310,"False","False","False",14,2017-11-09,2,33,4,"Thursday",0,1,"Comedy",TRUE
"117","6Detw08jRhs",2017-11-15,"MDNA SKIN",22,55901,477,132,105,"False","False","False",18,2017-11-09,2,5,1,"Thursday",0,1,"People & Blogs",TRUE
"118","_CJN_ryETIY",2017-11-15,"X Factor Italia",24,207678,10372,69,554,"False","False","False",23,2017-11-09,2,25,3,"Thursday",0,1,"Entertainment",TRUE
"119","sottGW1p5os",2017-11-16,"The Late Late Show with James Corden",24,3621389,141681,1289,8127,"False","False","False",6,2017-11-15,1,20,3,"Wednesday",0,0,"Entertainment",TRUE
"120","_BVAJ3PXZ1k",2017-11-16,"Vox",25,533940,12633,597,1828,"False","False","False",11,2017-11-15,1,20,3,"Wednesday",0,0,"News & Politics",TRUE
"121","8hKbIhrb1WU",2017-11-16,"TheEllenShow",24,1559003,29898,884,1838,"False","False","False",14,2017-11-15,1,20,3,"Wednesday",0,1,"Entertainment",TRUE
"122","RTaDvKMtUeA",2017-11-16,"Jimmy Kimmel Live",24,760341,13283,317,433,"False","False","False",5,2017-11-15,1,26,3,"Wednesday",0,0,"Entertainment",TRUE
"123","gjXrm2Q-te4",2017-11-16,"The Tonight Show Starring Jimmy Fallon",23,2223948,76806,1169,4176,"False","False","False",4,2017-11-14,2,11,2,"Tuesday",0,0,"Comedy",TRUE
"124","kgaO45SyaO4",2017-11-16,"BostonDynamics",28,5531707,72727,3362,14816,"False","False","False",20,2017-11-13,3,30,4,"Monday",0,1,"Science & Technology",TRUE
"125","9Ca8zWJOlFQ",2017-11-16,"Marques Brownlee",28,1825705,77531,4156,12025,"False","False","False",2,2017-11-15,1,8,1,"Wednesday",0,0,"Science & Technology",TRUE
"126","oRF2-ZloSqg",2017-11-16,"WWE",17,845763,17929,502,2325,"False","False","False",2,2017-11-15,1,22,3,"Wednesday",0,0,"Sports",TRUE
"127","lzgQrHFDNLE",2017-11-16,"SciShow",27,177648,6932,786,697,"False","False","False",22,2017-11-14,1,4,1,"Tuesday",0,1,"Education",TRUE
"128","KJ12FVmumeA",2017-11-16,"ESPN",17,281868,1546,245,885,"False","False","False",16,2017-11-14,2,21,3,"Tuesday",0,1,"Sports",TRUE
"129","815lSYphlbw",2017-11-16,"First We Feast",26,196434,6305,88,762,"False","False","False",16,2017-11-14,2,26,3,"Tuesday",0,1,"Howto & Style",TRUE
"130","64IIfxDrhJY",2017-11-16,"Paramount Pictures",1,17129,455,18,101,"False","False","False",13,2017-11-15,1,36,4,"Wednesday",0,1,"Film & Animation",TRUE
"131","ryqZUqgjvW8",2017-11-16,"ColliderVideos",24,90641,2349,409,1246,"False","False","False",7,2017-11-15,1,7,1,"Wednesday",0,0,"Entertainment",TRUE
"132","3x0usYgljOk",2017-11-16,"FreeDawkins",17,12494,252,3,91,"False","False","False",5,2017-11-15,1,8,1,"Wednesday",0,0,"Sports",TRUE
"133","SGVbdo2CkgI",2017-11-16,"Vanity Fair",24,30341,730,22,34,"False","False","False",13,2017-11-14,2,35,4,"Tuesday",0,1,"Entertainment",TRUE
"134","KhdecX0qjNA",2017-11-16,"BBCRadio1VEVO",10,157522,8012,85,286,"False","False","False",20,2017-11-13,2,9,1,"Monday",0,1,"Music",TRUE
"135","i-LCORFB860",2017-11-16,"Valk Aviation",19,1037561,716,117,223,"False","False","False",9,2017-11-13,2,18,2,"Monday",0,0,"Travel & Events",TRUE
"136","symdi5KSJts",2017-11-16,"Vogue",24,212992,7049,209,365,"False","False","False",13,2017-11-14,2,26,3,"Tuesday",0,1,"Entertainment",TRUE
"137","5hEJsoDP2q4",2017-11-16,"todrickhall",24,209442,19069,289,836,"False","False","False",17,2017-11-14,2,5,1,"Tuesday",0,1,"Entertainment",TRUE
"138","qC0I5PEhkJo",2017-11-16,"MattMasonPhotography",17,99999,143,12,32,"False","False","False",15,2010-01-14,2,26,3,"Thursday",0,1,"Sports",TRUE
"139","MNiweoKXwfg",2017-11-16,"INSIDER",24,20529,318,11,41,"False","False","False",17,2017-11-13,3,25,3,"Monday",0,1,"Entertainment",TRUE
"140","JBZTZZAcFTw",2017-11-16,"Refinery29",26,237111,2323,786,636,"False","False","False",16,2017-11-12,3,14,2,"Sunday",1,1,"Howto & Style",TRUE
"141","9XSULcLI6Hg",2017-11-16,"JimBrowski 96HourNews",25,36859,23,10,135,"False","False","False",15,2017-11-12,3,6,1,"Sunday",1,1,"News & Politics",TRUE
"142","pjuPpVLXDQg",2017-11-16,"ViralHog",2,100120,154,15,48,"False","False","False",0,2017-11-13,3,17,2,"Monday",0,1,"Autos & Vehicles",TRUE
"143","0PpNlNJ6Nng",2017-11-16,"Simply Nailogical",24,2083918,106243,1461,12707,"False","False","False",19,2017-11-11,3,10,1,"Saturday",1,1,"Entertainment",TRUE
"144","9KIP-Ncp2jU",2017-11-16,"12 News",22,92327,182,45,0,"False","False","False",1,2017-11-11,2,12,2,"Saturday",1,0,"People & Blogs",TRUE
"145","4v0nOAzcG2A",2017-11-16,"Jonathan Morrison",28,300601,10497,382,991,"False","False","False",15,2017-11-11,3,13,2,"Saturday",1,1,"Science & Technology",TRUE
"146","8mhTWqWlQzU",2017-11-16,"Safiya Nygaard",22,3031863,121285,1186,6852,"False","False","False",1,2017-11-11,3,5,1,"Saturday",1,0,"People & Blogs",TRUE
"147","i4YQRLQVixM",2017-11-16,"Bkav Corp",28,1167646,2691,916,1122,"False","False","False",7,2017-11-10,2,9,1,"Friday",0,0,"Science & Technology",TRUE
"148","1cgK-BIrXes",2017-11-16,"YouTube Spotlight",24,849499,27121,2042,5181,"False","False","False",15,2017-11-10,3,22,3,"Friday",0,1,"Entertainment",TRUE
"149","_Iz83-Cmt6A",2017-11-16,"CMAVEVO",10,58135,519,69,65,"False","False","False",22,2017-11-09,3,6,1,"Thursday",0,1,"Music",TRUE
"150","2Vv-BfVoq4g",2017-11-16,"Ed Sheeran",10,43449654,1788960,24548,93428,"False","False","False",11,2017-11-09,3,11,2,"Thursday",0,0,"Music",TRUE
"151","gLswXiRLdkA",2017-11-16,"Amber Scholl",26,525210,24412,1259,1847,"False","False","False",2,2017-11-11,3,28,3,"Saturday",1,0,"Howto & Style",TRUE
"152","MyEqfBkzESU",2017-11-16,"John Maclean",26,390261,9474,3091,3207,"False","False","False",20,2017-11-10,3,26,3,"Friday",0,1,"Howto & Style",TRUE
"153","OKoL852K9uA",2017-11-16,"mayratouchofglam",26,122772,3912,298,403,"False","False","False",5,2017-11-11,3,3,1,"Saturday",1,0,"Howto & Style",TRUE
"154","-OK9i1_YYYc",2017-11-16,"Animal Adventure Park",15,46260,2286,35,17,"False","False","False",0,2017-11-12,3,31,4,"Sunday",1,1,"Pets & Animals",TRUE
"155","pa_oUisZZy0",2017-11-16,"BuzzFeed Celeb",22,243412,7782,104,340,"False","False","False",0,2017-11-11,3,11,2,"Saturday",1,1,"People & Blogs",TRUE
"156","G8gJ4RTBxcg",2017-11-16,"New Scientist",28,465893,111,14,59,"False","False","False",15,2017-11-09,1,13,2,"Thursday",0,1,"Science & Technology",TRUE
"157","UFYCTJlayS4",2017-11-16,"Sara Dietschy",1,59168,2412,193,274,"False","False","False",3,2017-11-11,3,32,4,"Saturday",1,0,"Film & Animation",TRUE
"158","cccyOn99s4Y",2017-11-16,"MeganBatoon",24,82713,3124,151,250,"False","False","False",23,2017-11-10,3,12,2,"Friday",0,1,"Entertainment",TRUE
